Method,Sparsity,KL_oridata,MMD_oridata,KL_testdata,MMD_testdata
cgan,30,0.8341050081513999,0.3157375533528087,0.5658619949886019,0.30516653473669453
cgan,50,0.6202152541080029,0.3420614925002568,0.7086628713214835,0.3399563016585264
cgan,70,0.54645953819038,0.30246239532541846,1.0282184751952326,0.31201897687212393
cgan,90,0.5826888786636162,0.3388966266015855,1.6128919093593814,0.3943112206921022
diffts,30,0.793080606930432,0.07327413923072931,0.9747544979590627,0.16059146568618712
diffts,50,0.7812522489574828,0.07226513988415961,1.137207947085874,0.15382587169894843
diffts,70,0.7064074751804685,0.08173986762300249,1.4399895366053768,0.16520518486518476
diffts,90,0.6726312749060387,0.0892538151234115,1.8735186415896243,0.21844905845901108
diffts-fft,30,0.5697866028064356,0.0603950297410117,0.6948051135666005,0.15022842062803293
diffts-fft,50,0.5501901134958427,0.05302029867095552,0.8224258954584934,0.14292075520877098
diffts-fft,70,0.4731573920554114,0.05409824334313177,1.0699820866075638,0.14951410491553194
diffts-fft,90,0.5304231049857008,0.052796419689821864,1.6629416507156165,0.1983955505879692
timegan,30,0.6679117812385457,0.16244177035417734,0.45199085979831555,0.15508302109453018
timegan,50,0.5342191040739052,0.1549729532611507,0.5896991623494328,0.15698499362812152
timegan,70,0.40855339092661147,0.15835921624014937,0.7647975953584162,0.17900413003700766
timegan,90,0.3884625175345212,0.13908101179773505,1.2687120157448015,0.2143535010747649
wgan,30,0.7319469510572219,0.3339425637827929,0.5147311052486379,0.33121487376485537
wgan,50,0.7270530685026424,0.33680690739502217,0.8115277238442353,0.3323956610949524
wgan,70,0.4634925013910546,0.26294937165263366,0.8766891543882416,0.2784729876308639
wgan,90,0.7149691294944553,0.36257739481151574,1.4458402414411224,0.40726826324394694
